,Dates,Carry NG1 Comdty - NG2 Comdty,SMA_crossover,CombinedSignal
132,2006-05-01,-0.9999999999999999,-1,-1.0
133,2006-05-02,-0.9999999999999999,-1,-1.0
134,2006-05-03,1.0,-1,0.0
135,2006-05-04,-0.9999999999999999,-1,-1.0
136,2006-05-05,0.0,-1,-0.5
137,2006-05-08,1.0,-1,0.0
138,2006-05-09,1.0,-1,0.0
139,2006-05-10,-0.9999999999999999,-1,-1.0
140,2006-05-11,0.0,-1,-0.5
141,2006-05-12,1.0,-1,0.0
142,2006-05-15,1.0,-1,0.0
143,2006-05-16,-0.9999999999999999,-1,-1.0
144,2006-05-17,0.0,-1,-0.5
145,2006-05-18,1.0,-1,0.0
146,2006-05-19,-0.9999999999999999,-1,-1.0
147,2006-05-22,-0.9999999999999999,-1,-1.0
148,2006-05-23,0.0,-1,-0.5
149,2006-05-24,1.0,-1,0.0
150,2006-05-25,1.0,-1,0.0
151,2006-05-26,-0.9999999999999999,-1,-1.0
152,2006-05-29,-0.9999999999999999,-1,-1.0
153,2006-05-30,0.0,-1,-0.5
154,2006-05-31,-0.9999999999999999,-1,-1.0
155,2006-06-01,-0.9999999999999999,-1,-1.0
156,2006-06-02,-0.9999999999999999,-1,-1.0
157,2006-06-05,0.0,-1,-0.5
158,2006-06-06,1.0,-1,0.0
159,2006-06-07,1.0,-1,0.0
160,2006-06-08,0.0,-1,-0.5
161,2006-06-09,-0.9999999999999999,-1,-1.0
162,2006-06-12,-0.9999999999999999,-1,-1.0
163,2006-06-13,0.0,-1,-0.5
164,2006-06-14,-0.9999999999999999,-1,-1.0
165,2006-06-15,-0.9999999999999999,-1,-1.0
166,2006-06-16,0.0,-1,-0.5
167,2006-06-19,1.0,-1,0.0
168,2006-06-20,1.0,-1,0.0
169,2006-06-21,0.0,-1,-0.5
170,2006-06-22,1.0,-1,0.0
171,2006-06-23,1.0,-1,0.0
172,2006-06-26,1.0,-1,0.0
173,2006-06-27,0.0,-1,-0.5
174,2006-06-28,0.0,-1,-0.5
175,2006-06-29,1.0,-1,0.0
176,2006-06-30,-0.9999999999999999,-1,-1.0
177,2006-07-03,-0.9999999999999999,-1,-1.0
178,2006-07-04,-0.9999999999999999,-1,-1.0
179,2006-07-05,1.0,-1,-0.0
180,2006-07-06,1.0,-1,-0.0
181,2006-07-07,1.0,-1,-0.0
182,2006-07-10,-0.9999999999999999,-1,-1.0
183,2006-07-11,-0.9999999999999999,-1,-1.0
184,2006-07-12,-0.9999999999999999,-1,-1.0
185,2006-07-13,-0.9999999999999999,-1,-1.0
186,2006-07-14,-0.9999999999999999,-1,-1.0
187,2006-07-17,1.0,-1,-0.0
188,2006-07-18,1.0,-1,-0.0
189,2006-07-19,-0.9999999999999999,-1,-1.0
190,2006-07-20,-0.9999999999999999,-1,-1.0
191,2006-07-21,-0.9999999999999999,-1,-1.0
192,2006-07-24,-0.9999999999999999,-1,-1.0
193,2006-07-25,0.0,-1,-0.5
194,2006-07-26,-0.9999999999999999,-1,-1.0
195,2006-07-27,-0.9999999999999999,-1,-1.0
196,2006-07-28,-0.9999999999999999,-1,-1.0
197,2006-07-31,-0.9999999999999999,-1,-1.0
198,2006-08-01,0.0,-1,-0.5
199,2006-08-02,0.0,-1,-0.5
200,2006-08-03,1.0,-1,-0.0
201,2006-08-04,1.0,-1,-0.0
202,2006-08-07,1.0,-1,-0.0
203,2006-08-08,0.0,-1,-0.5
204,2006-08-09,-0.9999999999999999,-1,-1.0
205,2006-08-10,0.0,-1,-0.5
206,2006-08-11,1.0,-1,-0.0
207,2006-08-14,1.0,-1,-0.0
208,2006-08-15,1.0,-1,-0.0
209,2006-08-16,1.0,-1,-0.0
210,2006-08-17,1.0,-1,-0.0
211,2006-08-18,1.0,-1,-0.0
212,2006-08-21,1.0,-1,-0.0
213,2006-08-22,-0.9999999999999999,-1,-1.0
214,2006-08-23,0.0,-1,-0.5
