Dates,SMA_50,SMA_200,SMA_crossover,DEMA,MACD,MACD_Signal,RSI,ROC,BIAS,Z_Score,Keltner_upper,Keltner_lower,Bollinger_upper,Bollinger_lower
2004-11-01,,,0,2183.719,0.0,0.0,,,,,,,,
2004-11-02,,,0,2176.76825170068,-3.0565470085471134,-0.6113094017094227,0.0,,,,,,,
2004-11-03,,,0,2179.198271784904,-1.7206844424963492,-0.8331844098668081,54.73329789119256,,,,,,,
2004-11-04,,,0,2156.1789796381136,-11.701775771744906,-3.0069026822424276,20.763139142476888,,,,,,,
2004-11-05,,,0,2125.271913008762,-24.282701733158774,-7.262062492425698,16.285217146774045,,,,,,,
2004-11-08,,,0,2082.679961296221,-40.934701255825985,-13.996590245105756,12.416116375798666,,,,,,,
2004-11-09,,,0,2040.3265589982334,-56.09168434331923,-22.415609064748452,11.426816725491534,,,,,,,
2004-11-10,,,0,2013.5236100967227,-63.19236699769908,-30.57096065133858,21.467637919082236,,,,,,,
2004-11-11,,,0,1970.6802926503906,-76.86525093491764,-39.8298187080544,17.2839267070094,,,,,,,
2004-11-12,,,0,1931.4447036056572,-87.90032238504728,-49.44391944345298,16.838452605777448,,,,,,,
2004-11-15,,,0,1909.9192921327062,-90.35028067349572,-57.62519168946153,25.193178872526644,,,,,,,
2004-11-16,,,0,1877.6918392749603,-97.47296274366477,-65.59474590030219,22.482743236711997,,,,,,,
2004-11-17,,,0,1857.6843883934498,-98.76624399244474,-72.2290455187307,26.511934521672742,,,,,,,
2004-11-18,,,0,1822.3737232646536,-106.84455558060654,-79.15214753110587,23.378495044490236,,,,,,,
2004-11-19,,,0,1803.5445146375469,-107.12168795787738,-84.74605561646018,28.375081913587508,-18.40598538548229,,,,,,
2004-11-22,,,0,1771.8973800050394,-113.16990633940986,-90.43082576105013,26.924078303725608,-21.069188399568745,,,,,,
2004-11-23,,,0,1746.6873366436894,-115.99958277691371,-95.54457716422284,23.928656078380115,-22.383439216108542,,,,,,
2004-11-24,,,0,1779.3797017230045,-93.26183545271397,-95.08802882192107,47.45840004587578,-2.7198397074680787,,,,,,
2004-11-25,,,0,1808.1189964775185,-74.38454811378028,-90.94733268029292,50.265554125512764,0.27657121972476495,,,,,,
2004-11-26,,,0,1833.3616572949097,-58.74696346801966,-84.50725883783826,54.96303027364134,4.9473503355591895,4.4888407579930805,0.5562820132724225,,,2220.0992993349946,1603.0860006650055
2004-11-29,,,0,1821.8753033853827,-60.61779072882814,-79.72936521603624,47.32408914287167,-3.151524156892591,-4.280619175217871,-0.5721958209982483,2061.908858755124,1760.4732587551239,2176.2382818960486,1609.7724181039516
2004-11-30,,,0,1803.2813283856533,-65.39506233511611,-76.86250463985222,42.683517700221174,-8.371914744010475,-5.978372316201842,-0.853652371373043,2048.866834111779,1745.0600341117788,2136.283959790301,1611.3665402096988
2004-12-01,,,0,1779.0020851011973,-72.21058781200713,-75.9321212742832,45.268948549182795,-5.416133671359968,-7.351320372918906,-1.209301917761629,2031.5892261011331,1727.4762261011333,2074.8500873875946,1625.0213126124056
2004-12-02,,,0,1733.287774066972,-87.83071076043143,-78.31183917151286,40.42942851927494,-12.37053854629228,-13.759888973292671,-2.134662123116297,2002.632780758168,1698.379580758168,2061.418003302525,1590.6041966974753
2004-12-03,,,0,1693.799244861477,-99.34442861734033,-82.51835706067835,36.775081131263974,-15.62074589283154,-12.947218053510595,-1.8859047791519539,1970.2517825907235,1677.5757825907235,2052.813885300401,1557.1477146995992
2004-12-06,,,0,1665.6895577353328,-104.89066991699997,-86.99281963194268,41.27542481334283,-10.279433509824349,-10.570834044751875,-1.4595684544284195,1943.0596699630355,1662.2412699630354,2049.108927071243,1530.5934729287565
2004-12-07,,,0,1629.4227112875337,-113.61068609289282,-92.31639292413271,36.44626210803545,-16.066564465615706,-13.65153531555327,-1.7250050499624723,1920.923429966556,1632.6012299665558,2053.448480705064,1492.242819294936
2004-12-08,,,0,1601.4410278117844,-118.00436616126603,-97.45398757155938,41.13384582992917,-10.226757092949548,-11.904739031415648,-1.4459044436562867,1895.1157652078364,1614.2941652078362,2042.7875633007668,1465.1423366992333
2004-12-09,,,0,1586.5391868911656,-116.35782642952131,-101.23475534315178,40.31199533396187,-10.646015454174023,-8.655960697785499,-1.018824470169704,1873.2538018547089,1605.182801854709,2039.131038767725,1446.7997612322747
2004-12-10,,,0,1572.587483217905,-114.5348813242565,-103.89478053937273,43.82414375518444,-6.5685633028303085,-8.663278663700948,-0.9892106094731586,1857.7868016780699,1590.7326016780698,2035.6277339914277,1428.812366008572
2004-12-13,,,0,1574.8008551931462,-105.84402824948484,-104.28463008139516,47.709747707370326,-2.604948308406026,-3.7817608452355245,-0.43594570017574774,1852.3221110420632,1583.3541110420633,2020.7066414267858,1423.1996585732138
2004-12-14,,,0,1584.3610272164783,-94.74867580344471,-102.37743922580508,28.72958065947688,-15.117495184992901,-1.2855399441562312,-0.14843223485263224,1846.2371385618667,1585.1735385618667,2015.0255393799962,1420.021360620004
2004-12-15,,,0,1589.1260929569705,-86.76502729667868,-99.2549568399798,27.84964328245691,-16.24030427540589,-2.161690053371938,-0.25165043306134327,1840.4324825083556,1582.8470825083557,2003.7580657728051,1416.2049342271955
2004-12-16,,,0,1583.8892502369927,-83.87402032076011,-96.17876953613586,25.918248290219694,-18.972104249472192,-5.067501589074028,-0.5826906634449582,1826.746455602798,1578.783055602798,2001.3764874156286,1408.3136125843712
2004-12-17,,,0,1599.0836057407114,-72.22427958098638,-91.38787154510597,43.78676465388364,-4.8488029347015615,1.3015834582162003,0.1504431946108884,1833.28561697396,1576.3104169739602,1996.4574234397514,1407.4656765602485
2004-12-20,,,0,1591.474725726833,-71.5881091486167,-87.42791906580811,40.017889943240796,-8.766427082286814,-5.319442487911518,-0.6070566030446003,1826.8412344050114,1564.1940344050115,1995.1810704356021,1400.1390295643978
2004-12-21,,,0,1581.3636858449338,-72.0444871956363,-84.35123269177375,41.39099277362942,-7.51385257718907,-6.306819840830863,-0.7072792098318588,1817.7740930331056,1552.2402930331054,1993.587551723539,1390.133648276461
2004-12-22,,,0,1571.611422487235,-72.24497156642792,-81.92998046670459,50.168613705272,0.1321476243273636,-5.6257770453683476,-0.6991155279951531,1778.678879410905,1570.731279410905,1939.7357822887002,1401.9288177112999
2004-12-23,,,0,1557.3003277886448,-74.382251668143,-80.42043470699228,47.71913491284236,-1.8834890656443208,-6.453445375459001,-0.9402258140774198,1769.5252718479617,1554.5488718479617,1874.2813883459069,1421.8122116540933
2004-12-24,,,0,1545.4437688377477,-75.20909788267022,-79.37816734212788,45.240747557329314,-3.6833809286108234,-5.1419608650006055,-1.0429381695376265,1758.0637411957748,1543.0873411957748,1785.5206565772935,1465.0019434227067
2004-12-27,,,0,1514.3973541968749,-84.36929821732633,-80.37639351716757,42.01036530426531,-6.962716182450639,-11.310755874423686,-2.2852886402064474,1729.710284891415,1528.3288848914153,1764.83613306164,1446.91296693836
2004-12-28,,,0,1490.388118137595,-89.60709280183096,-82.22253337410025,41.82888388936343,-7.03279919231666,-9.63237439946715,-1.9338431198421535,1707.5825244255661,1513.7847244255663,1747.9643444652265,1431.2538555347737
2004-12-29,,,0,1472.7522934438296,-91.58724419650753,-84.09547553858171,38.779999873384845,-8.90549872966124,-8.00015173548091,-1.5896947787869884,1688.9048411469407,1501.9152411469408,1735.095291034669,1417.759908965331
2004-12-30,,,0,1447.7148832664495,-96.66705233539642,-86.60979089794466,36.07519923911491,-11.955670532495905,-11.123542650007519,-1.9519469853118683,1661.4401134186605,1490.8249134186608,1745.9753917599835,1388.7040082400165
2004-12-31,,,0,1426.7230905065855,-99.54534016688604,-89.19690075173294,28.17830079284863,-15.92417582218606,-10.615151757042945,-1.6978950329341138,1643.6517407121214,1473.7301407121217,1753.289071783786,1363.5613282162142
2005-01-03,,,0,1394.480039376569,-107.15369285347333,-92.78825917208103,20.35315784106814,-22.63572255999019,-15.046097052729737,-2.0875296784630613,1625.3222463585862,1445.007646358586,1766.5436683416183,1321.4086316583816
2005-01-04,,,0,1371.9377499991492,-109.86947125061738,-96.2045015877883,24.163324064276395,-20.082043398244018,-12.855870930792978,-1.6363494703302983,1602.0081990863398,1430.58379908634,1775.3674203718774,1293.206479628123
2005-01-05,,,0,1350.332685452108,-111.99206149053816,-99.36201356833828,25.702403894918348,-18.353463680109137,-13.242040761028445,-1.5571312501924115,1583.5772277447836,1411.8936277447838,1782.1520507041191,1264.0468492958812
2005-01-06,,,0,1341.2611229956674,-108.47538932534167,-101.18468871973897,18.101520572450795,-20.519060804563964,-9.369622644479355,-1.0671108300588614,1571.6442203405186,1399.5612203405185,1777.532111497889,1246.491488502111
2005-01-07,1690.68082,,0,1332.1263598692328,-105.35141666799018,-102.01803430938922,22.373741201225016,-15.42199167078316,-9.421791271379858,-1.0407741747091794,1559.724589831898,1387.4551898318978,1772.616710014253,1229.138389985747
2005-01-10,1674.9116800000002,,0,1331.3899359959453,-98.8479119744186,-101.3840098423951,29.45915541709934,-11.979626005735703,-6.2197245730102,-0.6977723564090418,1548.3761908002884,1383.8839908002888,1753.034500231694,1222.563499768306
2005-01-11,1659.61888,,0,1328.7362381223838,-93.7827169925672,-99.86375127242952,29.070740538324884,-12.434528660259323,-6.202304456742893,-0.7295854961903686,1537.8347916764517,1378.1649916764516,1722.3493936375057,1221.7805063624942
2005-01-12,1642.71082,,0,1320.7893041431428,-91.4923822689791,-98.18947747173945,29.114871308043917,-12.671929718730931,-7.515233502518721,-0.9217703752111766,1528.4001686596466,1366.3289686596468,1693.1032253258613,1218.3578746741387
2005-01-13,1630.84694,,0,1335.1456660862755,-79.58339201808826,-94.46826038100922,42.97945234929801,-5.295419120952261,0.8455146289685476,0.10893535835536183,1535.524295453966,1361.6214954539662,1672.55759604297,1223.0635039570298
2005-01-14,1619.9836000000003,,0,1345.9758520208009,-70.24963165607323,-89.62453463602202,52.57593577149733,1.7193053408208356,1.0239525213050027,0.1601173747332042,1526.1052816012075,1371.0694816012074,1617.4552987959403,1250.6269012040595
2005-01-17,1610.89328,,0,1355.7733434364027,-62.13629084075001,-84.12688587696762,51.32091852050215,0.8515884529812868,1.5858072343876248,0.27476894545478975,1514.442388115378,1382.7585881153782,1590.723230785614,1261.4960692143857
2005-01-18,1601.2801200000001,,0,1354.0339806864858,-59.73401765677045,-79.24831223292819,44.08748081949744,-4.139319083975775,-1.841872541882101,-0.35465836269287354,1512.5129654377229,1373.5789654377231,1563.4799027243396,1269.2513972756603
2005-01-19,1591.3370000000002,,0,1359.3497768872435,-54.35201994673753,-74.26905377569005,53.35823200233887,2.3418588423800095,1.1934371603503782,0.2658501247828587,1513.5548592055588,1369.217459205559,1535.2911051219746,1282.3184948780256
2005-01-20,1583.6756,,0,1364.9187458689316,-49.24489330842994,-69.26422168223803,53.682273563688405,2.585793498330216,1.841895897153802,0.46733688030672454,1509.2021488050293,1371.2139488050295,1513.7762732943281,1292.5658267056722
2005-01-21,1576.00662,,0,1367.2642942111397,-45.9112767877225,-64.59363270333493,62.04495991039214,7.772012429974675,1.2059240658633934,0.37560481053288325,1508.2095965378837,1367.1403965378838,1486.4567958587022,1307.0773041412976
2005-01-24,1568.1047,,0,1379.3034093464971,-38.5113290659408,-59.37717197585611,64.40762473740662,9.725505799747362,4.872804798082287,1.4445718981964355,1504.6106968676092,1376.3392968676092,1493.2844033378487,1304.533396662151
2005-01-25,1561.4347,,0,1386.9547629212773,-33.593964565217675,-54.220530493728425,64.27857417719727,9.771985984667888,3.6386390734798484,1.063721874351474,1505.997378118313,1376.8693781183133,1495.3632969117025,1303.8591030882972
2005-01-26,1553.9003600000003,,0,1393.178235911777,-29.62963665650068,-49.30235172628288,59.44285008152152,5.604221427935493,3.40750376254257,0.9996268670321695,1505.4987706784736,1378.4547706784738,1494.8610000194549,1304.0441999805453
2005-01-27,1547.96644,,0,1394.6526050862062,-27.993178760423234,-45.04051713311095,57.76932802129911,4.782532578920565,1.6743395496896356,0.488721365478622,1500.3667877567143,1380.2549877567142,1497.024285467808,1305.0298145321917
2005-01-28,1540.4033399999998,,0,1392.346702255422,-28.055769539731045,-41.64356761443497,51.036846657727835,0.5996723196073541,0.14771411286590144,0.04316375232384693,1498.958874637027,1374.6758746370272,1497.486411959188,1305.630988040812
2005-01-31,1534.88632,,0,1393.0837051331212,-26.675933033037836,-38.65004069815555,54.56330295268163,2.663020373518119,0.7592163482447398,0.24771500581627537,1490.379867528739,1379.5816675287388,1493.0885505224715,1320.6153494775285
2005-02-01,1529.19162,,0,1393.7054176463114,-25.38028980946865,-35.99609052041817,59.481566664411844,5.205488405879995,0.3963296535597545,0.14018601356884544,1486.1862134783828,1380.2384134783829,1490.593080126248,1331.047919873752
2005-02-02,1517.84096,,0,1396.8613009721082,-23.002537542461823,-33.3973799248269,44.39600754526416,-2.067323629569356,0.9620239006939134,0.40032439347895354,1485.6502074328225,1380.1374074328226,1484.3111981254037,1348.175601874596
2005-02-03,1505.4721599999998,,0,1390.5092390145667,-24.938446307143522,-31.705593201290228,38.70723368988113,-4.815544703100995,-2.662104385527979,-1.1267127637754317,1480.7112495820775,1374.8034495820775,1483.618386159897,1349.730313840103
2005-02-04,1492.8656399999998,,0,1383.048542137626,-27.119156065145944,-30.78830577406137,37.272971001390395,-5.635990267304,-3.5270127539889513,-1.5226239149098337,1475.0331781933082,1368.9229781933082,1482.7041351764592,1351.4052648235406
2005-02-07,1483.39808,,0,1371.6299350148913,-30.79054797167055,-30.788754213583207,41.11386589731333,-3.7174579472594687,-5.347561044810984,-2.0446934820026708,1466.3605326510883,1361.7131326510885,1488.194638090035,1340.2480619099651
2005-02-08,1475.80856,,0,1369.9159737646264,-29.827672138073922,-30.59653779848135,42.765134677152524,-3.0367882560405306,-2.260797739828007,-0.8661910652922717,1466.2634581128893,1355.7698581128896,1488.1271567986405,1340.4717432013595
2005-02-09,1469.18072,,0,1368.666123636726,-28.71549680248586,-30.220329599282255,42.15145444779626,-3.251678077782201,-2.3699740369827738,-0.9815636544891742,1460.1312525783287,1356.4796525783286,1484.4940944972404,1347.7268055027594
2005-02-10,1465.3142,,0,1367.56556946276,-27.606316732694722,-29.69752702596475,44.288508158259944,-2.2766517804403046,-2.1775741287800257,-0.9211347252090026,1446.3112951899163,1365.1800951899165,1478.947441793057,1345.411058206943
2005-02-11,1461.2165400000001,,0,1364.0647750531168,-27.6212746069873,-29.28227654216926,29.311138512124927,-6.862089531891691,-2.958684772057287,-1.2356801611587909,1442.9341718384958,1361.063371838496,1475.4918444300092,1340.6344555699911
2005-02-14,1456.5316200000002,,0,1361.2202537785276,-27.318221379074203,-28.88946550955025,31.448693128949586,-5.800261696005206,-2.6741784884266093,-1.1202694924996108,1439.5440983300678,1357.6732983300676,1470.9738685492216,1336.9202314507784
2005-02-15,1453.6109600000002,,0,1362.2746274854649,-25.30253897681655,-28.17208020300351,37.10522723606323,-4.308293812826548,-1.3450962840163605,-0.5610365285142245,1434.2224222986326,1360.3632222986328,1470.979419139714,1336.3660808602863
2005-02-16,1450.10758,,0,1360.656982130051,-24.615659157648224,-27.460795993932454,38.35100470286446,-3.825522908279127,-2.205766985220981,-0.9077502347614722,1429.568348746382,1359.816948746382,1468.9726823102594,1332.8101176897405
2005-02-17,1444.83126,,0,1351.8506467517636,-27.124438112343796,-27.393524417614724,35.2113394777748,-5.368227644199423,-4.841159847206145,-1.827078962219524,1427.0746393419645,1349.6604393419648,1469.8256824987395,1321.8834175012605
2005-02-18,1439.6865,,0,1343.8177813128323,-29.049248539956125,-27.724669242083007,31.03768794837353,-6.533745598867887,-4.779632458142128,-1.6649620442857285,1419.8274403570156,1344.8214403570157,1471.307156716867,1311.532343283133
2005-02-21,1433.0481399999999,,0,1337.0706712250646,-30.226245330365145,-28.224984459739435,31.18081408502843,-6.4597730039000005,-4.290706193890221,-1.5471620332496254,1409.0134746087285,1344.7002746087285,1461.0933006372588,1307.5301993627413
2005-02-22,1426.5121599999998,,0,1339.3701509833766,-27.315502128202752,-28.0430879934321,38.80213191693278,-4.281723907381658,-0.8384260707971297,-0.32885323239397724,1410.950691312659,1341.198891312659,1450.5956084656632,1309.838591534337
2005-02-23,1421.35764,,0,1349.9798824772927,-21.00266911080257,-26.635004216906196,56.750078035584224,2.6345922763587897,2.659628831544935,1.1237354195292888,1419.0102683305008,1340.609068330501,1443.8825878671614,1313.3668121328387
2005-02-24,1417.2630199999999,,0,1358.9725299589134,-15.942612825252127,-24.496525938575385,59.01225694766454,3.4121024815756233,2.585795594108216,1.1165922853882797,1420.1315189656912,1345.9471189656915,1441.9137366132436,1314.2592633867562
2005-02-25,1412.1985799999998,,0,1377.2015993943542,-7.2358494924103525,-21.04439064934238,73.00953447682127,9.883273133397333,6.474528405722209,2.3689339684054036,1432.1299409689589,1350.6825409689588,1456.9623921809957,1305.9369078190043
2005-02-28,1409.53506,,0,1393.5697074864554,-0.0697203912675377,-16.84945659772741,68.59078930857075,6.6448194165626795,6.49406020551162,2.1182077480725536,1438.9511656385816,1359.627365638582,1469.1612987103488,1299.4025012896511
2005-03-01,1407.0964000000001,,0,1405.7127464690013,4.671819165368788,-12.545201445108171,65.64895565004188,5.83530854964272,5.524390902196121,1.6840674617256368,1446.023483196812,1364.7332831968122,1477.5956870517741,1295.649412948226
2005-03-02,1404.9863,,0,1417.6449144663327,8.980013186489714,-8.240158518788595,66.97853085151382,6.507903415885577,5.950501105119744,1.7068972103176943,1451.7694895590205,1371.5494895590207,1485.5196995098352,1291.871600490165
